City,State,Old_Bucket,City_Bucket,Final_Population,Instances
MOHINDARGARH,HARYANA,Tier 6,Tier 4,35000,233
GANAUR,HARYANA,Tier 6,Tier 4,35000,323
UPPAL,#N/A,Tier 6,Tier 4,35000,962
LOHARU,HARYANA,Tier 6,Tier 4,35000,190
KAILASHAR,#N/A,Tier 6,Tier 4,35000,75
NARAINGARH,HARYANA,Tier 6,Tier 4,35000,223
RAHATA,MAHARASHTRA,Tier 6,Tier 4,35000,4
BELAPUR,MAHARASHTRA,Tier 6,Tier 4,35000,22
KALPA,#N/A,Tier 6,Tier 4,35000,63
KANKAVLI,MAHARASHTRA,Tier 6,Tier 4,35000,2
RAJGURUNAGAR KHED,#N/A,Tier 6,Tier 4,35000,12
TOSHAM,HARYANA,Tier 6,Tier 4,35000,102
TALCHAR,#N/A,Tier 6,Tier 4,35000,55
MANANTHAVADY,#N/A,Tier 6,Tier 4,35000,16
INDAPUR,MAHARASHTRA,Tier 6,Tier 4,35000,12
KEYLONG,HIMACHAL PRADESH,Tier 6,Tier 4,35000,15
GHARAUNDA,HARYANA,Tier 6,Tier 4,35000,60
BADURIA,WEST BENGAL,Tier 6,Tier 4,35000,6
SANTIRBAZAR,#N/A,Tier 6,Tier 4,35000,30
UDUMBANCHOLA,#N/A,Tier 6,Tier 4,35000,11
NILOKHERI,HARYANA,Tier 6,Tier 4,35000,3
AMBASSA,TRIPURA,Tier 6,Tier 4,35000,6
SURAJGARH,RAJASTHAN,Tier 6,Tier 4,35000,6
TOBHAMA,#N/A,Tier 6,Tier 4,35000,5
HAMIRPUR-U P,#N/A,Tier 6,Tier 4,35000,53
SINGTAM,SIKKIM,Tier 6,Tier 4,35000,2
JHALRA PATAN,RAJASTHAN,Tier 6,Tier 4,35000,3
KHARDA,WEST BENGAL,Tier 6,Tier 4,35000,1
KATOL,MAHARASHTRA,Tier 6,Tier 4,35000,5
ROHA,MAHARASHTRA,Tier 6,Tier 4,35000,1
CHANCHAL,#N/A,Tier 6,Tier 4,35000,25
BHANGAR RAGHUNATHPUR,WEST BENGAL,Tier 6,Tier 4,35000,1
DHARIAWAD,RAJASTHAN,Tier 6,Tier 4,35000,1
RAJPIPLA,GUJARAT,Tier 6,Tier 4,34923,62
RAWATBHATA,RAJASTHAN,Tier 6,Tier 4,34690,5
RAHURI,MAHARASHTRA,Tier 6,Tier 4,34476,2
PATTI,PUNJAB,Tier 6,Tier 4,34444,18
SOLAN,HIMACHAL PRADESH,Tier 5,Tier 4,34206,2863
KOKRAJHAR,ASSAM,Tier 4,Tier 4,34202,157
VAPI,GUJARAT,Tier 6,Tier 4,34162,386
ALMORA,UTTARANCHAL,Tier 4,Tier 4,34122,215
SIMDEGA,JHARKHAND,Tier 6,Tier 4,33981,50
KODUNGALLUR,KERALA,Tier 6,Tier 4,33935,65
PHULABANI,ORISSA,Tier 6,Tier 4,33890,43
SATHYAMANGALAM,TAMIL NADU,Tier 6,Tier 4,33722,54
HAILAKANDI,ASSAM,Tier 4,Tier 4,33671,18
PILIBANGA,RAJASTHAN,Tier 6,Tier 4,33608,7
PEHOWA,HARYANA,Tier 6,Tier 4,33564,291
UMARIA,MADHYA PRADESH,Tier 4,Tier 4,33114,205
BATLAGUNDU,TAMIL NADU,Tier 6,Tier 4,33000,19
FAIZABAD,UTTAR PRADESH,Tier 3,Tier 3,32905,1902
ELLENABAD,HARYANA,Tier 6,Tier 4,32795,179
MADIKERI,KARNATAKA,Tier 6,Tier 4,32496,532
SANAND,GUJARAT,Tier 6,Tier 4,32417,39
SIRKALI,TAMIL NADU,Tier 6,Tier 4,32228,14
TIRUCHENDUR,TAMIL NADU,Tier 6,Tier 4,32171,91
KANGEYAM,TAMIL NADU,Tier 6,Tier 4,32147,31
LAHUL AND SPITI,HIMACHAL PRADESH,Tier 6,Tier 4,32100,47
PARASSALA,KERALA,Tier 6,Tier 4,32082,52
KARUNAGAPALLY,KERALA,Tier 6,Tier 4,32082,169
NORTH PARAVOOR,KERALA,Tier 6,Tier 4,32082,110
MAVELIKARA,KERALA,Tier 6,Tier 4,32082,68
PONKUNNAM,KERALA,Tier 6,Tier 4,32082,15
ANGAMALY,KERALA,Tier 6,Tier 4,32082,71
GURUVAYUR,KERALA,Tier 6,Tier 4,32082,108
