City,State,Old_Bucket,City_Bucket,Final_Population,Instances
UTTAR PRADESH,UTTAR PRADESH,Tier 1,State,199812341,442
TAMIL NADU,TAMIL NADU,Tier 1,State,67900000,49
JHARKHAND,JHARKHAND,Tier 1,State,31900000,517
PUNJAB,PUNJAB,Tier 1,State,30000000,160
HARYANA,HARYANA,Tier 1,State,25351462,1407
BHUBANESWAR,ORISSA,Tier 4,Tier 2,19000000,7808
MUMBAI,MAHARASHTRA,Tier 1,Tier 1,12442373,114368
PARGANAS,#N/A,Tier 6,Tier 3,10009781,37
24 PARGANA NORTH,WEST BENGAL,Tier 1,Tier 3,10000000,151
BANGALORE,KARNATAKA,Tier 1,Tier 1,8436675,256216
BANGALORE B,KARNATAKA,Tier 1,Tier 1,8436675,8222
24 PARGANAS S,WEST BENGAL,Tier 6,Tier 3,8160000,#N/A
24 PARAGANA  SOUTH,WEST BENGAL,Tier 1,Tier 3,8160000,718
HIMACHAL,HIMACHAL PRADESH,Tier 6,State,6864602,144
HYDERABAD,ANDHRA PRADESH,Tier 2,Tier 1,6809970,56069
PASCHIM MIDNAPUR,WEST BENGAL,Tier 6,Tier 3,5913457,454
AHMEDABAD,GUJARAT,Tier 2,Tier 1,5570585,70983
HOOGHLY,WEST BENGAL,Tier 6,Tier 2,5520389,1317
NADIA,WEST BENGAL,Tier 2,Tier 2,5168488,1063
PURBA BARDHAMAN,#N/A,Tier 6,Tier 3,4835532,36
CHENNAI,TAMIL NADU,Tier 2,Tier 1,4681087,105842
KOLKATA,WEST BENGAL,Tier 2,Tier 1,4486679,19306
SURAT,GUJARAT,Tier 2,Tier 2,4467797,45218
MALAPURAM,KERALA,Tier 6,Tier 2,4112920,8
MALDAH,WEST BENGAL,Tier 2,Tier 3,3997970,1171
SARAN,BIHAR,Tier 2,Tier 3,3950000,101
CHAMPARAN,BIHAR,Tier 6,Tier 3,3940000,57
WEST  GODAVARI,ANDHRA PRADESH,Tier 2,Tier 3,3936966,129
BADUAN,UTTAR PRADESH,Tier 6,Tier 4,3681896,10
GANJAM,ORISSA,Tier 2,Tier 3,3520151,712
BIRBHUM,WEST BENGAL,Tier 2,Tier 3,3502387,1449
VAISHALI,JHARKHAND,Tier 3,Tier 3,3495021,497
SHAHRANPUR,UTTARANCHAL,Tier 6,Tier 4,3466382,10
ERNAKULAM,KOOTHATTUKULAM,Tier 2,Tier 3,3279860,1815
PURNEA,BIHAR,Tier 6,Tier 3,3260000,517
BANASKANTHA,GUJARAT,Tier 3,Tier 3,3116045,10804
PUNE,MAHARASHTRA,Tier 1,Tier 1,3115431,76769
JAIPUR,RAJASTHAN,Tier 1,Tier 2,3046163,17369
UTTARDINAJPUR,WEST BENGAL,Tier 6,Tier 4,3007134,80
SHAHJAHANPUR S,#N/A,Tier 6,Tier 4,3000000,463
ROHTAS,BIHAR,Tier 3,Tier 3,2960000,361
PASCHIM BARDHAMAN,WEST BENGAL,Tier 6,Tier 4,2882031,243
NALANDA,BIHAR,Tier 3,Tier 3,2880000,134
SANGLI,MAHARASHTRA,Tier 3,Tier 2,2820575,4035
LUCKNOW,UTTAR PRADESH,Tier 2,Tier 2,2815601,18716
KANPUR,UTTAR PRADESH,Tier 3,Tier 2,2767031,9756
BHOJPUR,BIHAR,Tier 3,Tier 3,2730000,486
RAIGAD,MAHARASHTRA,Tier 6,Tier 4,2635394,1223
BARMER,RAJASTHAN,Tier 3,Tier 3,2604453,706
BULDANA,MAHARASHTRA,Tier 3,Tier 3,2586258,3383
BEED,MAHARASHTRA,Tier 6,Tier 4,2585962,1154
SIDDHARTNAGAR,UTTAR PRADESH,Tier 6,Tier 4,2559297,693
MAYURBHANJA,ORISSA,Tier 6,Tier 4,2519000,701
RANGAREDDY,TELANGANA,Tier 2,Tier 2,2446265,25025
SABARKANTHA,GUJARAT,Tier 6,Tier 4,2427346,13504
NAGPUR,MAHARASHTRA,Tier 2,Tier 2,2405665,23853
AMBEDKAR NAGAR,UTTAR PRADESH,Tier 3,Tier 3,2397888,1242
PANCHMAHAL,GUJARAT,Tier 6,Tier 4,2388267,2075
EAST GODAVARI,ANDHRA PRADESH,Tier 2,Tier 3,2357684,312
BALASORE,ORISSA,Tier 6,Tier 4,2317419,1059
KHEDA,GUJARAT,Tier 3,Tier 3,2298934,1694
EAST SINGHBHUM,JHARKHAND,Tier 6,Tier 4,2291032,67
KHURDA,ORISSA,Tier 6,Tier 4,2250000,118
MAU M,#N/A,Tier 6,Tier 4,2205170,306
DHAR,MADHYA PRADESH,Tier 3,Tier 3,2184672,491
BARODA,GUJARAT,Tier 6,Tier 3,2180000,3355
JHUNJHUNU,RAJASTHAN,Tier 6,Tier 4,2139658,1738
DAHOD,GUJARAT,Tier 6,Tier 3,2126558,2696
KUTCH,GUJARAT,Tier 6,Tier 3,2090313,1704
DAKSHINA KANNADA,KARNATAKA,Tier 3,Tier 3,2089649,19
BANKA,BIHAR,Tier 3,Tier 3,2034763,82
INDORE,MADHYA PRADESH,Tier 3,Tier 2,1960631,27384
PALAMU,JHARKHAND,Tier 3,Tier 3,1936319,69
SONITPUR,ASSAM,Tier 3,Tier 3,1920000,332
KRISHNAGIRI,KARNATAKA,Tier 6,Tier 4,1880000,384
KANNIYAKUMARI,TAMIL NADU,Tier 3,Tier 3,1870000,16
KANYAKUMARI,TAMIL NADU,Tier 6,Tier 4,1870000,78
DHARWAD,KARNATAKA,Tier 3,Tier 2,1847023,2061
JOTIBARAO PHULE NAGAR,UTTAR PRADESH,Tier 6,Tier 4,1840221,47
JALORE,RAJASTHAN,Tier 6,Tier 4,1830151,1171
JAJPUR,ORISSA,Tier 6,Tier 2,1826275,110
GOA,GOA,Tier 4,State,1820000,771
KEONJAR,ORISSA,Tier 6,Tier 4,1820000,79
THANE,MAHARASHTRA,Tier 1,Tier 2,1818872,32176
BHOPAL,MADHYA PRADESH,Tier 3,Tier 2,1795648,9543
KANPUR DEHAT,KANPUR DEHAT,Tier 3,Tier 3,1795092,547
CHHATARPUR,MADHYA PRADESH,Tier 4,Tier 3,1762857,662
CHATTARPUR,MADHYA PRADESH,Tier 6,Tier 3,1760000,40
SURENDRANAGAR,GUJARAT,Tier 3,Tier 3,1755873,3968
CACHAR,ASSAM,Tier 4,Tier 4,1740000,285
VISHAKHAPATNAM,ANDHRA PRADESH,Tier 6,Tier 2,1730000,6445
PIMPRI CHINCHWAD,MAHARASHTRA,Tier 6,Tier 3,1729692,37868
CHINCHWAD,MAHARASHTRA,Tier 6,Tier 4,1729320,295
SANT KABIR NAGAR,UTTAR PRADESH,Tier 4,Tier 4,1715183,284
PURI,ORISSA,Tier 4,Tier 4,1697983,95
PATNA,BIHAR,Tier 2,Tier 2,1684222,16422
DAKSHIN DINAJPUR,WEST BENGAL,Tier 3,Tier 3,1670931,14
VADODARA,GUJARAT,Tier 2,Tier 2,1670806,18845
BOLANGIR,ORISSA,Tier 6,Tier 4,1658000,314
GHAZIABAD,UTTAR PRADESH,Tier 2,Tier 2,1648643,33223
UDHAM SINGH NAGAR,UTTARAKHAND,Tier 6,Tier 3,1648367,1671
GAUTAM BUDH NAGAR,UTTAR PRADESH,Tier 6,Tier 3,1648115,1530
DAUSA,RAJASTHAN,Tier 4,Tier 4,1637226,271
KAIMUR,BIHAR,Tier 6,Tier 4,1630000,124
LUDHIANA,PUNJAB,Tier 2,Tier 2,1618879,10346
KAUSHAMBI,UTTAR PRADESH,Tier 4,Tier 4,1599596,346
HAVERI,KARNATAKA,Tier 4,Tier 4,1597668,523
AGRA,UTTAR PRADESH,Tier 2,Tier 2,1585704,5067
KALAHANDI,ORISSA,Tier 4,Tier 4,1573054,212
MAHAMAYA NAGAR,UTTAR PRADESH,Tier 6,Tier 4,1564708,192
CHITTORGARH,RAJASTHAN,Tier 6,Tier 4,1544392,821
KAMRUP,ASSAM,Tier 3,Tier 3,1520000,3196
KANGRA,HIMACHAL PRADESH,Tier 4,Tier 4,1507223,3112
NASHIK,MAHARASHTRA,Tier 2,Tier 2,1486053,16118
NASIK,MAHARASHTRA,Tier 6,Tier 2,1486053,3765
KARAULI,RAJASTHAN,Tier 4,Tier 4,1458459,190
RANCHI,JHARKHAND,Tier 3,Tier 2,1456528,12906
SONEPAT,HARYANA,Tier 6,Tier 4,1450001,1006
UTTAR KANADA,KARNATAKA,Tier 6,Tier 4,1437169,15
UTTARA KANNADA,KARNATAKA,Tier 4,Tier 4,1437169,6
KANSHIRAM NAGAR,#N/A,Tier 6,Tier 4,1436719,17
FARIDABAD,HARYANA,Tier 3,Tier 2,1414050,40900
JHALAWAR,RAJASTHAN,Tier 4,Tier 4,1411327,272
KASARGOD,KERALA,Tier 6,Tier 3,1390894,169
PONDICHERRY P,TAMIL NADU,Tier 6,Tier 2,1390000,582
KOPPAL,KARNATAKA,Tier 4,Tier 4,1389920,359
DUNGARPUR,RAJASTHAN,Tier 4,Tier 4,1388906,300
BARWANI,MADHYA PRADESH,Tier 4,Tier 4,1385659,195
SEONI S,#N/A,Tier 6,Tier 4,1380000,195
KORAPUT,ORISSA,Tier 4,Tier 4,1376934,526
PANCHSHEEL NAGAR,#N/A,Tier 6,Tier 4,1338211,352
GONDIA,MAHARASHTRA,Tier 6,Tier 4,1322331,970
GODDA,JHARKHAND,Tier 4,Tier 4,1311382,745
MEERUT,UTTAR PRADESH,Tier 2,Tier 2,1305429,4930
RAJKOT,GUJARAT,Tier 2,Tier 2,1286678,32840
KALYAN,MAHARASHTRA,Tier 6,Tier 2,1246381,10782
VASAI,MAHARASHTRA,Tier 6,Tier 2,1246381,5284
GIR SOMNATH,GUJARAT,Tier 6,Tier 4,1217477,414
DHOLPUR,RAJASTHAN,Tier 6,Tier 4,1207293,172
VARANASI,UTTAR PRADESH,Tier 2,Tier 2,1201815,3900
BENARAS,UTTAR PRADESH,Tier 6,Tier 2,1200000,1
BHANDARA,MAHARASHTRA,Tier 4,Tier 4,1198810,924
SRINAGAR,JAMMU & KASHMIR,Tier 4,Tier 2,1180570,6241
HINGOLI,MAHARASHTRA,Tier 4,Tier 4,1178973,353
AURANGABAD,BIHAR,Tier 3,Tier 3,1175116,5737
DHANBAD,JHARKHAND,Tier 3,Tier 2,1162472,8217
PRAKASAM,ANDHRA PRADESH,Tier 2,Tier 2,1147292,1448
JAGAT SINGPUR,ORISSA,Tier 6,Tier 4,1140000,106
AMRITSAR,PUNJAB,Tier 2,Tier 2,1132383,2899
NAVI MUMBAI,MAHARASHTRA,Tier 4,Tier 2,1120547,14179
SHRAVASTI,UTTAR PRADESH,Tier 4,Tier 4,1117361,232
ALLAHABAD,UTTAR PRADESH,Tier 2,Tier 2,1112544,6960
IDUKKI,KERALA,Tier 4,Tier 4,1110000,181
NARSINGHPUR,MADHYA PRADESH,Tier 6,Tier 4,1092141,316
HOWRAH,WEST BENGAL,Tier 4,Tier 2,1077075,1386
GADCHIROLI,MAHARASHTRA,Tier 4,Tier 4,1071795,549
GWALIOR,MADHYA PRADESH,Tier 3,Tier 2,1069276,1377
BHADRADRI,TELANGANA,Tier 6,Tier 4,1069261,191
GADAG,KARNATAKA,Tier 4,Tier 4,1064570,261
SERAIKELA KHARSAWAN,JHARKHAND,Tier 6,Tier 4,1063458,39
JABALPUR,MADHYA PRADESH,Tier 3,Tier 2,1055525,3260
CHANDIGARH UT,HARYANA,Tier 6,Tier 2,1054686,1568
COIMBATORE,TAMIL NADU,Tier 2,Tier 2,1050721,9413
VIJAYAWADA,ANDHRA PRADESH,Tier 4,Tier 2,1034358,4537
JODHPUR,RAJASTHAN,Tier 3,Tier 2,1033918,4201
GUMLA,JHARKHAND,Tier 4,Tier 4,1025656,140
JHABUA,MADHYA PRADESH,Tier 4,Tier 4,1024091,172
CHAMRAJNAGAR,KARNATAKA,Tier 6,Tier 4,1020791,45
CHAMARAJANAGAR,KARNATAKA,Tier 4,Tier 4,1020791,68
MADURAI,TAMIL NADU,Tier 3,Tier 2,1017865,2070
RAIPUR,UTTARANCHAL,Tier 2,Tier 2,1010087,3747
BARAMULA,JAMMU & KASHMIR,Tier 4,Tier 4,1010000,1341
KOTA,UTTAR PRADESH,Tier 3,Tier 3,1001694,1599
MANDI,HIMACHAL PRADESH,Tier 4,Tier 3,999518,3337
S A S NAGAR-MOHALI,#N/A,Tier 6,Tier 4,994628,585
MAHISAGAR,GUJARAT,Tier 6,Tier 4,994624,331
KARBI ANGLONG,ASSAM,Tier 4,Tier 4,965000,123
DISPUR,ASSAM,Tier 6,Tier 4,965000,12
BAKSA,ASSAM,Tier 6,Tier 4,965000,79
KURUKSHETRA,HARYANA,Tier 4,Tier 4,964231,1997
NAYAGARH,ORISSA,Tier 4,Tier 4,962215,57
CHANDIGARH,PUNJAB,Tier 4,Tier 2,960787,14264
TRIVANDRUM,KERALA,Tier 6,Tier 2,958000,1830
GUWAHATI,ASSAM,Tier 4,Tier 2,957352,3520
JHAJJAR,HARYANA,Tier 4,Tier 4,956907,2056
SOLAPUR,MAHARASHTRA,Tier 2,Tier 2,951558,2128
HUBLI,KARNATAKA,Tier 6,Tier 2,944000,544
DARRANG,ASSAM,Tier 3,Tier 3,928000,68
WEST TRIPURA,TRIPURA,Tier 3,Tier 3,917534,4
BARAILY,MADHYA PRADESH,Tier 2,Tier 2,904000,3
PAKUR,JHARKHAND,Tier 6,Tier 4,899200,138
BAREILLY,UTTAR PRADESH,Tier 4,Tier 2,898167,1809
MYSORE,KARNATAKA,Tier 3,Tier 2,893062,5258
ALIGARH,UTTAR PRADESH,Tier 3,Tier 2,889810,2367
MURADABAD,UTTAR PRADESH,Tier 6,Tier 2,887871,78
TIRUPPUR,TAMIL NADU,Tier 5,Tier 2,877778,956
TIRUPUR,KARNATAKA,Tier 6,Tier 3,877700,756
GURGAON,HARYANA,Tier 3,Tier 2,876824,81115
KUPWARA,JAMMU & KASHMIR,Tier 4,Tier 4,875564,493
MORADABAD,UTTAR PRADESH,Tier 2,Tier 2,872575,1240
JALANDHAR,PUNJAB,Tier 3,Tier 2,862196,4059
SINDHUDURGA,MAHARASHTRA,Tier 6,Tier 4,849651,1372
TRICHY,TAMIL NADU,Tier 6,Tier 2,847387,1371
TIRUCHIRAPPALLI,TAMIL NADU,Tier 3,Tier 2,847387,382
BHUBANESHWAR,ORISSA,Tier 4,Tier 2,838000,6698
KEONJHAR,ORISSA,Tier 6,Tier 4,838000,1135
SALEM,TAMIL NADU,Tier 3,Tier 2,831038,1158
EAST KHASI HILLS,MEGHALAYA,Tier 4,Tier 4,824059,315
MANCHERIAL,TELANGANA,Tier 6,Tier 4,807037,367
TAPI,GUJARAT,Tier 6,Tier 4,806489,1681
JALGAON,MAHARASHTRA,Tier 2,Tier 3,798514,3366
PEDDAPALLI,TELANGANA,Tier 6,Tier 4,795332,92
JAMTARA,JHARKHAND,Tier 6,Tier 4,790207,82
MAHABUBABAD,TELANGANA,Tier 6,Tier 4,770170,79
JAYASHANKAR,TELANGANA,Tier 6,Tier 4,769325,66
BUDGAM,JAMMU & KASHMIR,Tier 6,Tier 4,754000,251
THIRUVANANTHAPURAM,KERALA,Tier 2,Tier 2,752490,498
ANUPPUR,MADHYA PRADESH,Tier 6,Tier 4,749521,92
KANKER,CHHATTISGARH,Tier 4,Tier 4,748593,107
BADGAM,JAMMU & KASHMIR,Tier 4,Tier 4,735753,655
NILGIRI,TAMIL NADU,Tier 6,Tier 4,735000,39
NEELAGIRI,TAMIL NADU,Tier 6,Tier 4,735000,7
KANDHAMAL,ORISSA,Tier 4,Tier 4,731952,6
YADADRI,TELANGANA,Tier 6,Tier 4,726465,85
LATEHAR,JHARKHAND,Tier 6,Tier 4,725673,15
BHIWANDI,MAHARASHTRA,Tier 4,Tier 2,711329,61
DINDORI,MADHYA PRADESH,Tier 4,Tier 4,704218,50
SAHARANPUR,UTTAR PRADESH,Tier 3,Tier 3,703345,1292
COCHIN,KERALA,Tier 6,Tier 2,677381,336
JAISALMER,RAJASTHAN,Tier 4,Tier 4,672008,201
GORAKHPUR,UTTAR PRADESH,Tier 2,Tier 2,671048,4111
SURAJPUR,CHHATTISGARH,Tier 6,Tier 4,660280,33
KORIYA,CHHATTISGARH,Tier 4,Tier 4,659039,47
KOREA,CHHATTISGARH,Tier 6,Tier 4,659000,149
BIKANER,RAJASTHAN,Tier 3,Tier 2,647804,723
GUNTUR,ANDHRA PRADESH,Tier 2,Tier 2,647508,2926
AMRAVATI,MAHARASHTRA,Tier 3,Tier 2,646801,3599
WEST GARO HILLS,MEGHALAYA,Tier 4,Tier 4,642923,105
NOIDA,UTTAR PRADESH,Tier 5,Tier 2,642381,30689
JAMSHEDPUR,JHARKHAND,Tier 4,Tier 2,631364,7914
BHILAI,CHHATTISGARH,Tier 4,Tier 2,625697,122
WARANGAL,TELANGANA,Tier 2,Tier 2,615998,2827
CALICUT,KERALA,Tier 6,Tier 2,609000,191
KAZHIKODE,KERALA,Tier 6,Tier 2,609000,8
NUAPADA,ORISSA,Tier 4,Tier 4,606490,80
CUTTACK,ORISSA,Tier 3,Tier 2,606007,2266
FIROZABAD,UTTAR PRADESH,Tier 3,Tier 3,603797,592
KOCHI,KERALA,Tier 4,Tier 2,601574,245
NERUL,MAHARASHTRA,Tier 6,Tier 4,600000,18
FATEHGARH SAHIB,PUNJAB,Tier 4,Tier 4,599814,633
GARIABAND,CHHATTISGARH,Tier 6,Tier 4,597653,6
BHAVNAGAR,GUJARAT,Tier 3,Tier 3,593768,7693
NARMADA,GUJARAT,Tier 4,Tier 4,590379,381
DEHRADUN,UTTARANCHAL,Tier 4,Tier 2,578420,18077
KONDAGAON,CHHATTISGARH,Tier 6,Tier 4,578326,20
GAJAPATI,ORISSA,Tier 4,Tier 4,575880,15
HARDA,MADHYA PRADESH,Tier 5,Tier 4,570302,105
PULWAMA,JAMMU & KASHMIR,Tier 4,Tier 4,570060,798
KOMARAM BHEEM ASIFABAD,TELANGANA,Tier 6,Tier 4,569325,4
DURGAPUR,WEST BENGAL,Tier 4,Tier 2,566937,2564
DURGAPUR WB,WEST BENGAL,Tier 5,Tier 2,566937,267
ASANSOL,WEST BENGAL,Tier 5,Tier 2,564491,2763
KODAGU,KARNATAKA,Tier 4,Tier 4,554519,64
ROURKELA,ORISSA,Tier 5,Tier 2,552734,1996
NANDED,MAHARASHTRA,Tier 3,Tier 2,550564,3341
COORG,KARNATAKA,Tier 6,Tier 4,550000,33
KOLHAPUR,MAHARASHTRA,Tier 2,Tier 2,549283,6031
SIPAHIJALA,TRIPURA,Tier 6,Tier 4,542731,4
AJMER,RAJASTHAN,Tier 3,Tier 2,542580,1431
AKOLA,MAHARASHTRA,Tier 3,Tier 3,537149,3166
DANTEWADA,CHHATTISGARH,Tier 4,Tier 4,533638,146
GULBARGA,KARNATAKA,Tier 2,Tier 2,532031,941
KHUNTI,JHARKHAND,Tier 6,Tier 4,530299,4
SIRMOUR,HIMACHAL PRADESH,Tier 6,Tier 4,529855,1005
JAMNAGAR,GUJARAT,Tier 3,Tier 2,529308,18062
UJJAIN,MADHYA PRADESH,Tier 3,Tier 2,515215,2296
SILIGURI,WEST BENGAL,Tier 5,Tier 2,509709,4498
JHANSI,UTTAR PRADESH,Tier 3,Tier 2,507293,1685
ULHASNAGAR,MAHARASHTRA,Tier 5,Tier 4,506937,35
NARSIMHAPUR,MADHYA PRADESH,Tier 4,Tier 4,503000,2
JAMMU,JAMMU & KASHMIR,Tier 3,Tier 2,502197,6950
NELLORE,ANDHRA PRADESH,Tier 3,Tier 2,499575,2139
MANGALORE,KARNATAKA,Tier 5,Tier 2,499486,3434
BELGAUM,KARNATAKA,Tier 2,Tier 2,488292,1670
SRIPERUMBUDUR,TAMIL NADU,Tier 6,Tier 4,486000,356
CHIRANG,ASSAM,Tier 6,Tier 4,482000,78
AMBATTUR,TAMIL NADU,Tier 5,Tier 4,478134,300
BARDOLI,GUJARAT,Tier 6,Tier 4,476000,3898
TIRUNELVELI,TAMIL NADU,Tier 3,Tier 2,473637,751
THIRUNELVENI,TAMIL NADU,Tier 6,Tier 2,473637,41
MALEGAON,MAHARASHTRA,Tier 5,Tier 4,471006,878
KUKATPALLY,TELANGANA,Tier 6,Tier 3,469325,3211
GAYA,BIHAR,Tier 2,Tier 3,463454,1837
HAMIRPUR,HIMACHAL PRADESH,Tier 5,Tier 2,454293,3714
UDAIPUR,TRIPURA,Tier 3,Tier 3,451735,3247
KAKINADA,ANDHRA PRADESH,Tier 5,Tier 2,443028,1754
KULLU,HIMACHAL PRADESH,Tier 5,Tier 3,437474,3146
CHITTUR,BIHAR,Tier 2,Tier 2,437000,41
DAVANAGERE,KARNATAKA,Tier 3,Tier 3,435128,1760
DAVANGIRI,KARNATAKA,Tier 6,Tier 4,435128,63
SOUTH TRIPURA,TRIPURA,Tier 4,Tier 4,433737,30
KOZHIKODE,KERALA,Tier 3,Tier 2,432097,507
KURNOOL,ANDHRA PRADESH,Tier 2,Tier 2,430214,1857
HANMAKONDA,ANDHRA PRADESH,Tier 6,Tier 4,427303,2
HANUMAKONDA,ANDHRA PRADESH,Tier 6,Tier 4,427000,1
KULGAM,JAMMU & KASHMIR,Tier 6,Tier 4,422786,182
GAJUWAKA,ANDHRA PRADESH,Tier 6,Tier 4,422018,737
BOKARO,JHARKHAND,Tier 3,Tier 2,413934,2392
BOKARO STEEL CITY,JHARKHAND,Tier 6,Tier 4,413934,348
BELLARY,KARNATAKA,Tier 3,Tier 3,409644,1714
DODA,JAMMU & KASHMIR,Tier 4,Tier 4,409576,206
PATIALA,PUNJAB,Tier 3,Tier 3,405164,3485
VASHI,MAHARASHTRA,Tier 6,Tier 4,400000,5329
AGARTALA,TRIPURA,Tier 5,Tier 4,399688,400
BHAGALPUR,BIHAR,Tier 3,Tier 3,398138,1249
MUZAFFARNAGAR,UTTAR PRADESH,Tier 2,Tier 2,392451,40
CHAMOLI,UTTARANCHAL,Tier 5,Tier 4,391114,255
WEST KHASI HILLS,MEGHALAYA,Tier 5,Tier 4,385601,19
BANDIPORA,#N/A,Tier 6,Tier 4,385099,373
MANNARKKAD,KERALA,Tier 6,Tier 4,384393,35
PANIHATI,WEST BENGAL,Tier 5,Tier 4,383522,4
LATUR,MAHARASHTRA,Tier 3,Tier 3,382754,2431
ANDAMAN AND NICOBAR ISLANDS,UNION TERRITORY,Tier 5,Tier 4,379944,30
DHALAI,TRIPURA,Tier 5,Tier 4,377988,32
DHULE,MAHARASHTRA,Tier 3,Tier 3,376093,2542
ROHTAK,HARYANA,Tier 4,Tier 4,373133,3243
SAGAR,MADHYA PRADESH,Tier 3,Tier 3,370296,1390
BADAUN,UTTAR PRADESH,Tier 6,Tier 4,369221,157
BHINMAL,RAJASTHAN,Tier 6,Tier 4,366382,16
KORBA,CHHATTISGARH,Tier 4,Tier 4,363210,490
DASUYA,PUNJAB,Tier 6,Tier 4,360505,24
GARHSHANKER,PUNJAB,Tier 6,Tier 4,360505,14
BHILWARA,RAJASTHAN,Tier 3,Tier 3,360009,1183
BRAHMAPUR,ORISSA,Tier 6,Tier 4,357000,7
JALALABAD,UTTAR PRADESH,Tier 6,Tier 4,356274,46
BERHAMPUR,ORISSA,Tier 5,Tier 4,355823,85
MIRAJ,MAHARASHTRA,Tier 6,Tier 4,355000,8
MUZAFFARPUR,BIHAR,Tier 2,Tier 3,351838,5547
AHMEDNAGAR,MAHARASHTRA,Tier 5,Tier 4,350905,3373
MATHURA,UTTAR PRADESH,Tier 3,Tier 2,349336,1904
KOLLAM,KERALA,Tier 3,Tier 2,349033,1018
BARDHMAN,WEST BENGAL,Tier 1,Tier 3,347016,27
BURDWAN,WEST BENGAL,Tier 6,Tier 4,346639,2440
CUDDAPPAH,ANDHRA PRADESH,Tier 3,Tier 3,345000,80
CUDDAPAH,ANDHRA PRADESH,Tier 6,Tier 4,345000,1120
AVADI,TAMIL NADU,Tier 5,Tier 4,344701,13
DADRA NAGAR HAVELI,GUJARAT,Tier 5,Tier 4,344000,254
DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,Tier 5,Tier 4,343709,287
KADAPA,ANDHRA PRADESH,Tier 5,Tier 4,343054,157
RAJAHMUNDRY,ANDHRA PRADESH,Tier 5,Tier 2,341831,1490
AVINASHI,TAMIL NADU,Tier 6,Tier 4,337923,39
AVANASHI,TAMIL NADU,Tier 6,Tier 4,337923,9
SAMBALPUR,ORISSA,Tier 4,Tier 4,335761,1934
KANGPOKPI,MANIPUR,Tier 6,Tier 4,334000,4
BILASPUR B,#N/A,Tier 5,Tier 3,331030,1220
BILASPUR,HARYANA,Tier 3,Tier 3,330106,1264
SATARA,MAHARASHTRA,Tier 3,Tier 3,326789,2624
BIJAPUR,CHANDIGARH,Tier 3,Tier 2,326360,569
RAMPUR,HIMACHAL PRADESH,Tier 3,Tier 3,325248,307
SHIMOGA,KARNATAKA,Tier 3,Tier 3,322428,1237
CHANDRAPUR,ASSAM,Tier 3,Tier 3,321036,3721
JUNAGADH,GUJARAT,Tier 3,Tier 3,320250,4760
SAMBA,JAMMU & KASHMIR,Tier 6,Tier 4,318611,260
EAST GARO HILLS,MEGHALAYA,Tier 5,Tier 4,317618,37
TRICHUR,KERALA,Tier 6,Tier 4,315957,131
THRISSUR,KERALA,Tier 3,Tier 2,315596,665
ALWAR,RAJASTHAN,Tier 3,Tier 3,315310,1373
REASI,JAMMU & KASHMIR,Tier 6,Tier 4,314714,147
NIZAMABAD,TELANGANA,Tier 3,Tier 3,310467,1119
PARBHANI,MAHARASHTRA,Tier 4,Tier 4,307191,832
TUMKUR,KARNATAKA,Tier 3,Tier 3,305821,2633
KHAMMAM,TELANGANA,Tier 3,Tier 3,305000,1253
HISAR,HARYANA,Tier 3,Tier 3,301249,3053
DODABALLAPUR,KARNATAKA,Tier 6,Tier 4,300000,7
UNAKOTI,TRIPURA,Tier 6,Tier 4,298574,1
GANDERBAL,JAMMU & KASHMIR,Tier 6,Tier 4,297003,180
BIHAR SHARIF,BIHAR,Tier 5,Tier 4,296889,105
PANIPAT,HARYANA,Tier 4,Tier 4,294150,2715
DARBHANGA,BIHAR,Tier 2,Tier 3,294116,3448
AIZAWL,MIZORAM,Tier 5,Tier 4,291822,875
DEWAS,MADHYA PRADESH,Tier 4,Tier 4,289438,887
ICHALKARANJI,MAHARASHTRA,Tier 5,Tier 4,287570,11
TIRUPATI,ANDHRA PRADESH,Tier 5,Tier 2,287482,4478
KARNAL,HARYANA,Tier 4,Tier 4,286974,2338
BATHINDA,PUNJAB,Tier 4,Tier 4,285813,1440
BHATINDA,PUNJAB,Tier 6,Tier 4,285788,506
JALNA,MAHARASHTRA,Tier 3,Tier 3,285349,796
BARASAT,WEST BENGAL,Tier 5,Tier 4,283443,2372
RAMBAN,JAMMU & KASHMIR,Tier 6,Tier 4,283313,53
PURNIA,BIHAR,Tier 3,Tier 3,282248,2310
EAST SIKKIM,SIKKIM,Tier 6,Tier 4,281293,10
BAHADURPURA,#N/A,Tier 6,Tier 4,280258,36
SATNA,MADHYA PRADESH,Tier 3,Tier 3,280248,2425
MAUNATH BHANJAN,UTTAR PRADESH,Tier 6,Tier 4,278745,69
SONIPAT,HARYANA,Tier 4,Tier 4,277053,2948
FARRUKHABAD-CUM-FATEHGARH,UTTAR PRADESH,Tier 6,Tier 4,276581,231
FARUKHABAD,UTTAR PRADESH,Tier 6,Tier 4,276581,160
CHURACHANDPUR,MANIPUR,Tier 5,Tier 4,271274,7
JAINTIA HILLS,MEGHALAYA,Tier 5,Tier 4,270000,153
KHAIRATABAD,TELANGANA,Tier 6,Tier 4,268679,2328
DURG,CHHATTISGARH,Tier 3,Tier 3,268679,879
SHOPIAN,JAMMU & KASHMIR,Tier 6,Tier 4,265960,277
IMPHAL,MANIPUR,Tier 5,Tier 4,264986,362
